dataset,configuration,grid_side,rlen,median_bmu_distance_mean,median_bmu_distance_std,median_bmu_distance_median,median_bmu_distance_min,median_bmu_distance_max,ari_mean,ari_std,ari_median,ari_min,ari_max,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_min,macro_f1_max,neg_median_bmu_distance,ari,macro_f1,pareto_front_mean
Levine_32dim,grid10_rlen10,10,10,2.187669849395752,0.004145100932292433,2.187276601791382,2.183209180831909,2.193011283874512,0.5665790373375785,0.04825281697200395,0.5752963207724873,0.5067459102046589,0.6310017390385421,0.6661838463266617,0.026740690938881283,0.6717151576959728,0.6306071649014012,0.7001923727458742,-2.187669849395752,0.5665790373375785,0.6661838463266617,False
Levine_32dim,grid10_rlen20,10,20,2.1770052909851074,0.00456012547617433,2.1784474849700928,2.1693878173828125,2.180389404296875,0.6589335966396805,0.07282515685611206,0.6422871392098253,0.589329391305946,0.782820028308292,0.7110276706279706,0.0249613672159163,0.7043161273501426,0.6786355235625844,0.744208351922623,-2.1770052909851074,0.6589335966396805,0.7110276706279706,False
Levine_32dim,grid10_rlen30,10,30,2.1758466720581056,0.0017010201859258775,2.175900936126709,2.173229455947876,2.1773602962493896,0.739614921366913,0.04928784935497882,0.7602952100270073,0.6620466456976418,0.7814610675490865,0.7193292043241453,0.037748874237863356,0.7096385689144719,0.6785211525272451,0.7776391852647675,-2.1758466720581056,0.739614921366913,0.7193292043241453,False
Levine_32dim,grid15_rlen10,15,10,2.0898982524871825,0.002567212659918793,2.0891292095184326,2.086906909942627,2.093779325485229,0.6624109159043352,0.09341482537603522,0.6396100829326616,0.5328394006547161,0.7618820386135412,0.6514017602281854,0.029311671777188786,0.6538187875216274,0.6062954525725833,0.6784046858825555,-2.0898982524871825,0.6624109159043352,0.6514017602281854,False
Levine_32dim,grid15_rlen20,15,20,2.0689401149749758,0.0026165360089608646,2.0677168369293213,2.066519260406494,2.0731852054595947,0.748603329631051,0.016091827791640773,0.7469964484731209,0.731099781661145,0.7723303901991405,0.719354031988389,0.01591557506856623,0.7212378734735673,0.7041422341933613,0.7433362371849147,-2.0689401149749758,0.748603329631051,0.719354031988389,False
Levine_32dim,grid15_rlen30,15,30,2.0644647598266603,0.0016564005773718447,2.0644097328186035,2.061858892440796,2.065925121307373,0.7825151167665718,0.024569171655962604,0.7885769346113622,0.7458488594781892,0.8060456503002442,0.7435940134657371,0.033210521373051416,0.7397516469930228,0.6951338124090279,0.7852955259433759,-2.0644647598266603,0.7825151167665718,0.7435940134657371,True
Levine_32dim,grid20_rlen10,20,10,2.044614839553833,0.001627548101634271,2.045046806335449,2.0419187545776367,2.0462310314178467,0.6834883570970749,0.1283459093620317,0.7699241578526304,0.501965753975599,0.7798214603563591,0.6585430880495855,0.05415750798375189,0.6329286377476695,0.6034380161758006,0.7202086309429393,-2.044614839553833,0.6834883570970749,0.6585430880495855,False
Levine_32dim,grid20_rlen20,20,20,2.009741926193237,0.002091389358968267,2.0101101398468018,2.0064239501953125,2.0115442276000977,0.7505341965474639,0.021457265961355797,0.7543272511461455,0.7285801359396848,0.7771445927182357,0.7287485357883249,0.015709177633346904,0.7264988992957038,0.7136855031235937,0.7493115243774354,-2.009741926193237,0.7505341965474639,0.7287485357883249,True
Levine_32dim,grid20_rlen30,20,30,1.9984118700027467,0.001966528674015032,1.998173832893372,1.995532751083374,2.0004239082336426,0.8020623435829375,0.021748816684683984,0.7983451998840799,0.7715416711497423,0.8303827946530479,0.7193879501411897,0.014317021619354282,0.7190827788214884,0.7028348065320412,0.74058139976501,-1.9984118700027467,0.8020623435829375,0.7193879501411897,True
Samusik_01,grid10_rlen10,10,10,2.391552209854126,0.0037380247280191627,2.392444610595703,2.386388063430786,2.39590072631836,0.7685289632479299,0.052306128165420976,0.7585259345457928,0.7068630334322108,0.8514723005441549,0.6864306758034866,0.015758021280388383,0.684630129095274,0.6656026277477308,0.7088747270063825,-2.391552209854126,0.7685289632479299,0.6864306758034866,False
Samusik_01,grid10_rlen20,10,20,2.3829885959625243,0.0025745775713886306,2.381676197052002,2.380835056304932,2.3858330249786377,0.7987715520503599,0.02942172692040644,0.7800895547719494,0.7733766543933893,0.8378307220100518,0.7008894253565179,0.0209593620261013,0.6960762182946686,0.6785695362208138,0.7344106722649517,-2.3829885959625243,0.7987715520503599,0.7008894253565179,True
Samusik_01,grid10_rlen30,10,30,2.3786964416503906,0.003924791678689303,2.3788812160491943,2.3727798461914062,2.383616209030152,0.8165511528389404,0.03251817043277281,0.8125896419562583,0.7788274833957666,0.868401775855843,0.6938094989414172,0.006860029004679414,0.692603910816579,0.687491656335513,0.7049067595282308,-2.3786964416503906,0.8165511528389404,0.6938094989414172,True
Samusik_01,grid15_rlen10,15,10,2.303578138351441,0.0026290983514999215,2.304728984832764,2.3008034229278564,2.30671501159668,0.7755039190758873,0.04047353942048847,0.7879672884627753,0.7237027522723869,0.8170868281369525,0.666497684113571,0.02611236896623399,0.6653223701382321,0.6385779883121919,0.707928073109983,-2.303578138351441,0.7755039190758873,0.666497684113571,False
Samusik_01,grid15_rlen20,15,20,2.2829259395599366,0.003870326377854081,2.2834606170654297,2.2789249420166016,2.288662433624268,0.8363995326058937,0.04684848196920277,0.8461327995705635,0.7637861856630571,0.8911697519474212,0.6767342757522121,0.01259230086358925,0.6810166053193015,0.6544092801259062,0.684031925123536,-2.2829259395599366,0.8363995326058937,0.6767342757522121,False
Samusik_01,grid15_rlen30,15,30,2.273509216308594,0.002505573536251974,2.2725954055786133,2.270802497863769,2.2766451835632324,0.8350485746523828,0.042773654698750614,0.8428006343404647,0.7650684263489912,0.8824732680115634,0.6786655128700143,0.020273267595213643,0.6852815937744058,0.6530344897799147,0.7000988820180151,-2.273509216308594,0.8350485746523828,0.6786655128700143,True
Samusik_01,grid20_rlen10,20,10,2.2597426891326906,0.001838445310972393,2.2593541145324707,2.258216857910156,2.262849807739258,0.8248774729578553,0.053285220220640646,0.8061365896827392,0.768535418065859,0.8877020116755179,0.6783850482993734,0.013848134260592577,0.6840183186720189,0.658420314987907,0.6925661652590406,-2.2597426891326906,0.8248774729578553,0.6783850482993734,True
Samusik_01,grid20_rlen20,20,20,2.2276185512542725,0.0012245706320491248,2.227856636047364,2.226086139678955,2.228765726089477,0.8356720374508544,0.04186501157984291,0.8297098407206153,0.7886166028426133,0.8889900900195548,0.6751176400239547,0.010345508854759206,0.6761587954915799,0.6600869394414992,0.6849159449520658,-2.2276185512542725,0.8356720374508544,0.6751176400239547,False
Samusik_01,grid20_rlen30,20,30,2.213439178466797,0.0017037578699711593,2.2136354446411133,2.21118688583374,2.215855121612549,0.8703893273110405,0.009530431617443408,0.867637228884438,0.8628749185174592,0.8868573469869606,0.6778617410343708,0.019831903838642678,0.6722871719056176,0.6544819789074322,0.7085510919681406,-2.213439178466797,0.8703893273110405,0.6778617410343708,True
