dataset,endpoint,n_runs,mean,sd,median,mad_unscaled,q1,q3,iqr,min,max,range,bootstrap_mean_ci95_low,bootstrap_mean_ci95_high,bootstrap_replicates
Mosmann_rare,ari,30,9.197239896836989e-05,6.9357093396093865e-06,9.063880004262119e-05,4.69291894691806e-06,8.663486448005877e-05,9.549997825665621e-05,8.865113776597441e-06,7.98760297845913e-05,0.0001081360461419,2.82600163573087e-05,8.963074333322425e-05,9.442185642752662e-05,10000
Mosmann_rare,target_precision,30,0.31739343199982273,0.07405684346201728,0.33282051282051284,0.007027916453170385,0.3262839879154078,0.34016000316446304,0.01387601524905524,0.0198542805100182,0.416988416988417,0.3971341364783988,0.2889071727928737,0.3397308652197448,10000
Mosmann_rare,target_recall,30,0.9911314984709477,0.001674992530596828,0.9908256880733946,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9908256880733946,1.0,0.00917431192660545,0.9908256880733942,0.9917431192660547,10000
Mosmann_rare,target_f1,30,0.4752301545998062,0.10180280283929853,0.49827055906173834,0.007918054423519422,0.4909090909090909,0.5064499144399105,0.015540823530819592,0.0389355242007501,0.5869565217391305,0.5480209975383804,0.4337982139803682,0.5051308354618875,10000
Mosmann_rare,target_f2,30,0.6802578689555466,0.1250890129214444,0.7100594785254859,0.0064761180300491605,0.7040417209908735,0.7166565525975568,0.012614831606683308,0.0919676004049949,0.7769784172661869,0.685010816861192,0.6294090664629934,0.7152885816961858,10000
Mosmann_rare,quality_q,30,0.8532445333333335,0.0006614166475143983,0.8532515,0.00044850000000007384,0.8528015,0.85359075,0.0007892499999999636,0.852036,0.854444,0.0024079999999999657,0.8530098308333334,0.853474835,10000
Mosmann_rare,n_valid_communities,30,24.233333333333334,1.222866427231762,24.0,1.0,23.0,25.0,2.0,22.0,26.0,4.0,23.8,24.666666666666668,10000
Mosmann_rare,outlier_events,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000
Mosmann_rare,target_outlier_fraction,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000
Mosmann_rare,target_overlapping_valid_communities,30,1.9666666666666666,0.18257418583505533,2.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.9,2.0,10000
Mosmann_rare,target_effective_valid_communities,30,1.051771694665437,0.009778112071906767,1.0535569255159691,0.0,1.0535569255159691,1.0535569255159691,0.0,1.0,1.0535569255159691,0.053556925515969134,1.0482012329643724,1.0535569255159694,10000
Mosmann_rare,target_dominant_valid_community_capture,30,0.9911314984709477,0.001674992530596828,0.9908256880733946,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9908256880733946,1.0,0.00917431192660545,0.9908256880733942,0.9917431192660547,10000
Mosmann_rare,target_outlier_events,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000
Mosmann_rare,target_events,30,109.0,0.0,109.0,0.0,109.0,109.0,0.0,109.0,109.0,0.0,109.0,109.0,10000
Nilsson_rare,ari,30,0.0003887150353618327,0.0003425763801157634,0.0003676743779794,0.00012734873932645,0.00022529104161915,0.00045097567530655,0.0002256846336874,-0.0002396021001383,0.0013629734526269,0.0016025755527652,0.0002719795624373719,0.0005107941058841949,10000
Nilsson_rare,target_precision,30,0.10935745839724911,0.020460699203005348,0.1025961499895909,0.0032608018830187005,0.09935663650630427,0.1058083202540461,0.0064516837477418265,0.0926597823053307,0.1787829833064081,0.0861232010010774,0.10299501508033135,0.11725689530168654,10000
Nilsson_rare,target_recall,30,0.9273743016759778,2.2584051416334807e-16,0.9273743016759776,0.0,0.9273743016759776,0.9273743016759776,0.0,0.9273743016759776,0.9273743016759776,0.0,0.9273743016759778,0.9273743016759778,10000
Nilsson_rare,target_f1,30,0.19504406956611325,0.03146578584274237,0.18475287997027126,0.005287361920124439,0.17948380260756794,0.189944959351389,0.01046115674382106,0.1684851560517635,0.2997742663656885,0.13128911031392498,0.1850381718370044,0.20729810112441666,10000
Nilsson_rare,target_f2,30,0.36909128900106564,0.04228622993613429,0.35561326960556744,0.007837016818326104,0.34775332398704983,0.3632584132827126,0.015505089295662744,0.3310069790628115,0.5047126786257221,0.1737056995629106,0.3555547026492958,0.38482126001753164,10000
Nilsson_rare,quality_q,30,0.8801693,0.0010075432787829386,0.880127,0.0007984999999999798,0.87937425,0.8808595,0.0014852499999999935,0.87831,0.881968,0.003657999999999939,0.8798166425,0.8805198908333334,10000
Nilsson_rare,n_valid_communities,30,28.466666666666665,0.9732042112432566,29.0,1.0,28.0,29.0,1.0,26.0,31.0,5.0,28.133333333333333,28.8,10000
Nilsson_rare,outlier_events,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000
Nilsson_rare,target_outlier_fraction,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000
Nilsson_rare,target_overlapping_valid_communities,30,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,10000
Nilsson_rare,target_effective_valid_communities,30,1.297421018555288,6.775215424900442e-16,1.2974210185552872,0.0,1.2974210185552872,1.2974210185552872,0.0,1.2974210185552872,1.2974210185552872,0.0,1.297421018555288,1.297421018555288,10000
Nilsson_rare,target_dominant_valid_community_capture,30,0.9273743016759778,2.2584051416334807e-16,0.9273743016759776,0.0,0.9273743016759776,0.9273743016759776,0.0,0.9273743016759776,0.9273743016759776,0.0,0.9273743016759778,0.9273743016759778,10000
Nilsson_rare,target_outlier_events,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000
Nilsson_rare,target_events,30,358.0,0.0,358.0,0.0,358.0,358.0,0.0,358.0,358.0,0.0,358.0,358.0,10000
