dataset,knn_k,evaluation_mode,n_total_events,n_evaluable_events,n_predicted_clusters_all_events,ari,target,target_events,target_prevalence,selected_target_cluster,selected_cluster_size,target_tp,target_fp,target_fn,target_precision,target_recall,target_f1,target_f2,target_overlapping_clusters,target_clusters_ge_1pct_target,target_effective_predicted_clusters,target_dominant_cluster_capture,background_overlapping_clusters,background_clusters_ge_1pct_background,background_effective_predicted_clusters,background_dominant_cluster_capture,n_true_populations,n_predicted_clusters_evaluable,clusters_absent_from_evaluation,overclustering_ratio_evaluable,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,hungarian_accuracy,matched_clusters,unmatched_evaluable_clusters,unmatched_evaluable_events,mean_population_effective_predicted_clusters,median_population_effective_predicted_clusters,mean_population_split_clusters_ge_1pct,mean_evaluable_cluster_purity,weighted_evaluable_cluster_purity,mean_cluster_effective_true_populations,mean_cluster_merge_populations_ge_1pct
Levine_13dim,10,multiclass_rectangular_hungarian,167044,81747,216,0.6800942792394953,,,,,,,,,,,,,,,,,,,,,24.0,210.0,6.0,8.75,0.5570211906213093,0.46480679231985295,0.46524033786083724,0.8614270793781594,0.6812727072553121,0.7451116676416414,0.6812727072553121,24.0,186.0,12409.0,4.010780778833673,3.3313864335303283,9.041666666666666,0.7879290172906259,0.8716527823651021,1.7659590530744738,3.1285714285714286
Levine_13dim,20,multiclass_rectangular_hungarian,167044,81747,80,0.6993828649736724,,,,,,,,,,,,,,,,,,,,,24.0,78.0,2.0,3.25,0.5026078004751825,0.4686172091269813,0.4353882447531689,0.8454206890731337,0.7030105080308757,0.7479108248645256,0.7030105080308757,24.0,54.0,6757.0,3.251297467371799,2.51115331748061,6.458333333333333,0.693258788807966,0.8564962628597992,2.239701109886516,4.243589743589744
Levine_13dim,40,multiclass_rectangular_hungarian,167044,81747,35,0.7534771306663017,,,,,,,,,,,,,,,,,,,,,24.0,34.0,1.0,1.4166666666666667,0.42578936290423236,0.45934856684843295,0.39891672097172953,0.8144982064836004,0.7771783674018619,0.7757119205014518,0.7771783674018619,24.0,10.0,1679.0,2.1557651418912225,1.437545054635842,4.916666666666667,0.668068513338841,0.8430523444285417,2.552616569451629,5.117647058823529
Levine_32dim,10,multiclass_rectangular_hungarian,265627,104184,746,0.4504016364401176,,,,,,,,,,,,,,,,,,,,,14.0,367.0,379.0,26.214285714285715,0.8611508180616051,0.5076757802961768,0.6050265123580278,0.9736107138640892,0.506546110727175,0.6594092563189528,0.506546110727175,14.0,353.0,49656.0,3.6475625924141,2.9538173322079535,8.285714285714286,0.9596295570077719,0.97306688167089,1.0952788078916178,1.3950953678474114
Levine_32dim,20,multiclass_rectangular_hungarian,265627,104184,416,0.4663553829493051,,,,,,,,,,,,,,,,,,,,,14.0,168.0,248.0,12.0,0.8236583706632051,0.5210117010074958,0.623280544055724,0.9697570965360686,0.4997408431237041,0.6519232465735938,0.4997408431237042,14.0,154.0,50065.0,2.792562641066028,2.488001126442178,6.5,0.9505963330678981,0.970561698533364,1.1159340155750002,1.4761904761904763
Levine_32dim,40,multiclass_rectangular_hungarian,265627,104184,277,0.5804329098376722,,,,,,,,,,,,,,,,,,,,,14.0,106.0,171.0,7.571428571428571,0.8267077386127114,0.5912348291474518,0.6717317747611881,0.9706181758001005,0.6080012285955616,0.7388149539215396,0.6080012285955617,14.0,92.0,38404.0,2.5502282667941283,2.401979645123509,6.071428571428571,0.9224361519459526,0.9670102894878292,1.1985862458308076,1.7075471698113207
Mosmann_rare,10,rare_target_best_single_cluster,396460,396460,295,8.003068979061428e-05,activated,109.0,0.00027493315845230287,47.0,129.0,96.0,33.0,13.0,0.7441860465116279,0.8807339449541285,0.8067226890756303,0.8495575221238938,4.0,4.0,1.28069418993209,0.8807339449541285,295.0,18.0,14.665734030422584,0.196386536176268,,,,,,,,,,,,,,,,,,,,,
Mosmann_rare,20,rare_target_best_single_cluster,396460,396460,87,0.00011325007319929605,activated,109.0,0.00027493315845230287,14.0,116.0,89.0,27.0,20.0,0.7672413793103449,0.8165137614678899,0.7911111111111111,0.8061594202898551,5.0,4.0,1.4735210219521269,0.8165137614678899,87.0,18.0,10.497758431679316,0.24097580175147787,,,,,,,,,,,,,,,,,,,,,
Mosmann_rare,40,rare_target_best_single_cluster,396460,396460,33,0.00016308508726424427,activated,109.0,0.00027493315845230287,7.0,114.0,85.0,29.0,24.0,0.7456140350877193,0.7798165137614679,0.7623318385650225,0.7727272727272727,3.0,3.0,1.5610300880304822,0.7798165137614679,33.0,13.0,7.449614644059418,0.25872269781077883,,,,,,,,,,,,,,,,,,,,,
Nilsson_rare,10,rare_target_best_single_cluster,44140,44140,161,0.0006446470957272093,HSCs,358.0,0.008110557317625736,47.0,157.0,109.0,48.0,249.0,0.6942675159235668,0.30446927374301674,0.42330097087378643,0.3429830081812461,8.0,8.0,4.783309696200642,0.30446927374301674,161.0,27.0,39.484184973980604,0.08222557215293956,,,,,,,,,,,,,,,,,,,,,
Nilsson_rare,20,rare_target_best_single_cluster,44140,44140,60,0.002350619092071808,HSCs,358.0,0.008110557317625736,25.0,300.0,181.0,119.0,177.0,0.6033333333333334,0.505586592178771,0.5501519756838905,0.5225173210161663,4.0,4.0,2.8021338930429835,0.505586592178771,60.0,24.0,12.90312584424055,0.21501987117993696,,,,,,,,,,,,,,,,,,,,,
Nilsson_rare,40,rare_target_best_single_cluster,44140,44140,35,0.002888767764203187,HSCs,358.0,0.008110557317625736,20.0,396.0,203.0,193.0,155.0,0.5126262626262627,0.5670391061452514,0.5384615384615384,0.5552516411378555,3.0,3.0,2.1821091701569784,0.5670391061452514,35.0,20.0,10.564160981940612,0.19188250879356814,,,,,,,,,,,,,,,,,,,,,
Samusik_01,10,multiclass_rectangular_hungarian,86864,53173,51,0.7223037489799566,,,,,,,,,,,,,,,,,,,,,24.0,49.0,2.0,2.0416666666666665,0.789028463266431,0.6106291509017364,0.664531620444738,0.9327709863619054,0.750061121245745,0.8153570564761685,0.750061121245745,24.0,25.0,9290.0,2.379364358607965,2.1871972551917676,4.875,0.8391512122335589,0.9262219547514716,1.4320864045268826,2.9183673469387754
Samusik_01,20,multiclass_rectangular_hungarian,86864,53173,27,0.8808705049221943,,,,,,,,,,,,,,,,,,,,,24.0,27.0,0.0,1.125,0.7632917615496467,0.6472628709039906,0.6619947969726269,0.9185400099439066,0.9110262727324019,0.9028027249511736,0.9110262727324018,24.0,3.0,258.0,1.5304521980241368,1.334064086855098,3.5416666666666665,0.8710293512085047,0.919902958268294,1.3466614888733301,2.740740740740741
