condition,fit_events,transform,fit_policy,runtime_seconds,occupied_nodes,occupied_metaclusters_fit,occupied_metaclusters_evaluable,ari,macro_precision,macro_recall,macro_f1,legacy_staged_macro_f1,hungarian_accuracy,delta_ari_from_paper,delta_macro_f1_from_paper
labeled_direct_a,81747,direct_file_values,evaluable_only,2.658324600000924,100,24,24,0.8936264732788051,0.5517425180275267,0.5627464694246346,0.5356532334034143,0.5356,0.8497314886173193,2.6473278805116962e-05,5.323340341434335e-05
labeled_direct_b,81747,direct_file_values,evaluable_only,1.2723933999986912,100,24,24,0.8936264732788051,0.5517425180275267,0.5627464694246346,0.5356532334034143,0.5356,0.8497314886173193,2.6473278805116962e-05,5.323340341434335e-05
all_direct,167044,direct_file_values,all_events,2.4959428000001935,100,24,22,0.6575051281874573,0.389386070262711,0.38313345728050674,0.32526613520012354,0.3253,0.6739452212313601,-0.23609487181254263,-0.21033386479987642
labeled_extra_asinh5,81747,extra_arcsinh_cofactor5,evaluable_only,1.1857167000016489,100,24,24,0.9045431259421902,0.5806255065432313,0.5930992567177534,0.5668452994825304,0.5668,0.8657076100652011,0.010943125942190268,0.03124529948253041
all_extra_asinh5,167044,extra_arcsinh_cofactor5,all_events,2.3981632000031823,100,24,24,0.6900079273987567,0.3868378413501286,0.4337259002124179,0.3613388502177992,0.3613,0.6997565659901892,-0.20359207260124323,-0.17426114978220075
