dataset,endpoint,n_runs,mean,sd,median,mad_unscaled,q1,q3,iqr,min,max,range,bootstrap_mean_ci95_low,bootstrap_mean_ci95_high,bootstrap_replicates
Levine_13dim,ari,30,0.8725655771738698,0.007116385322240901,0.8726043074369172,0.005533128531083009,0.8674558510577125,0.878235384849327,0.010779533791614448,0.8573096313049752,0.8871791173194096,0.0298694860144344,0.870076913324604,0.8750664796569377,10000
Levine_13dim,macro_precision,30,0.45715640922605966,0.009032446562108366,0.4544881476700628,0.006424643680225439,0.45020483349831214,0.46286234769060924,0.012657514192297104,0.443417857990051,0.4782561627776368,0.03483830478758576,0.4540594040457495,0.46043208792388274,10000
Levine_13dim,macro_recall,30,0.520296159016742,0.003934219926767641,0.520878735475501,0.001591441143304062,0.5190526806054948,0.5222762250777673,0.003223544472272466,0.5107088396676202,0.5306860555890645,0.019977215921444302,0.5188789173628319,0.5216456169473106,10000
Levine_13dim,macro_f1,30,0.4623437202613724,0.0030922612418871967,0.4623936811674555,0.002401523531584543,0.45990850555419194,0.46431403413105976,0.004405528576867823,0.4566071280139948,0.4684286730764197,0.011821545062424943,0.46125902450661743,0.46345700475633506,10000
Levine_13dim,weighted_f1,30,0.8671156327758106,0.004051359565119149,0.8668622507489515,0.0027464348882486056,0.8645714651331668,0.8708235727870641,0.006252107653897276,0.8566224322816869,0.8733792153680091,0.016756783086322224,0.8656753067979593,0.8685346134826165,10000
Levine_13dim,hungarian_accuracy,30,0.8848471503541412,0.003853000345766528,0.8845829204741458,0.0020367719916326577,0.883023230210283,0.8872558014361382,0.004232571225855297,0.8757630249428113,0.8911519688795919,0.015388943936780586,0.8834766515386905,0.886164721641161,10000
Levine_13dim,quality_q,30,0.8846194333333333,0.0006935604631839615,0.884583,0.0003430000000000377,0.88433525,0.8849290000000001,0.0005937500000000595,0.883181,0.886184,0.003002999999999978,0.88437346,0.8848643350000001,10000
Levine_13dim,n_valid_communities,30,25.233333333333334,0.6789105539243626,25.0,0.5,25.0,26.0,1.0,24.0,26.0,2.0,25.0,25.466666666666665,10000
Levine_13dim,overclustering_ratio_evaluable,30,1.0069444444444442,0.03297823307820491,1.0,0.0,1.0,1.03125,0.03125,0.9583333333333334,1.0833333333333333,0.12499999999999989,0.9958333333333333,1.0180555555555557,10000
Levine_13dim,mean_population_effective_predicted_clusters,30,1.5828182708808556,0.017450197084868002,1.5824631633223727,0.010653506827777104,1.5701913031096393,1.590835189485119,0.020643886375479648,1.5568071770185063,1.6327875852455442,0.07598040822703789,1.576963437342805,1.5892507227737294,10000
Levine_13dim,weighted_evaluable_cluster_purity,30,0.8872390831875584,0.003681330192965837,0.887488225867616,0.0026178330703268138,0.8848551017162709,0.8892436419685126,0.004388540252241668,0.877818146231666,0.8934028160054803,0.015584669773814341,0.8859411660366739,0.8885170199925787,10000
Levine_13dim,mean_cluster_effective_true_populations,30,2.2188944323177773,0.08389923094142913,2.2311262482567806,0.055092402193207546,2.1660591058438943,2.2677907133545494,0.10173160751065513,1.9855639403622125,2.3734193920193465,0.387855451657134,2.1883051507422686,2.2474536577972697,10000
Levine_32dim,ari,30,0.552972332287991,0.01902316840357746,0.5518775733024508,0.009764942975478863,0.542930064830212,0.5673902757336198,0.024460210903407775,0.4943824622651847,0.5893063473441209,0.09492388507893623,0.5460865937296417,0.5593893885049196,10000
Levine_32dim,macro_precision,30,0.6341759333258074,0.021011015219043253,0.620980377017128,0.004106462312380044,0.6190324507012868,0.6604318877990696,0.04139943709778282,0.6114766114554006,0.6677320241925903,0.0562554127371897,0.6270352492333987,0.6417486537510613,10000
Levine_32dim,macro_recall,30,0.5768190567418495,0.03152497234774019,0.5608589085981339,0.01287062750041118,0.5516588523166286,0.6112340635845556,0.059575211267926975,0.537896895116737,0.6463358899905448,0.10843899487380781,0.5660698046990991,0.5881096457872481,10000
Levine_32dim,macro_f1,30,0.57411417982893,0.025337337419342895,0.5623158312782548,0.010366418572189673,0.555129708517486,0.6025309627733917,0.04740125425590569,0.5402949540954274,0.619306760209304,0.07901180611387659,0.565388558316701,0.5833185758423298,10000
Levine_32dim,weighted_f1,30,0.6899985622594649,0.015584799973299852,0.6936219494488866,0.010334233505602808,0.6826633232491511,0.7014565284308754,0.018793205181724226,0.6454634695875302,0.7083213713815277,0.06285790179399753,0.6842202506050791,0.6952370286798001,10000
Levine_32dim,hungarian_accuracy,30,0.5723412424172617,0.017337014686435958,0.5763073024648698,0.011714850648851971,0.5643836865545574,0.5836740766336481,0.019290390079090725,0.5239384166474699,0.5929509329647547,0.06901251631728478,0.5661895700555427,0.5782127374004965,10000
Levine_32dim,quality_q,30,0.8757891,0.0005207189559008631,0.875869,0.0003934999999999911,0.875387,0.876115,0.0007279999999999509,0.874951,0.876928,0.0019770000000000065,0.8756075641666665,0.8759731024999999,10000
Levine_32dim,n_valid_communities,30,31.2,0.9247553264475439,31.0,0.0,31.0,32.0,1.0,29.0,33.0,4.0,30.866666666666667,31.533333333333335,10000
Levine_32dim,overclustering_ratio_evaluable,30,2.121428571428572,0.06802222594918744,2.142857142857143,0.07142857142857073,2.071428571428572,2.142857142857143,0.07142857142857073,2.0,2.2857142857142856,0.2857142857142856,2.0976190476190477,2.145238095238096,10000
