dataset,scheme,count,mean,std,median,min,max
Levine_32dim,Python_20k_train,435,0.7763786301361328,0.07351561688250688,0.7963973497444715,0.5892237329091524,0.9033724009657599
Levine_32dim,R_full_event,435,0.887436602451871,0.026145335912703797,0.8867377439155328,0.8155186744409543,0.9532458343585863
Samusik_01,Python_20k_train,435,0.7717618999169873,0.05526414499672214,0.779860007702408,0.6029787264388525,0.8775924111094108
Samusik_01,R_full_event,435,0.8233021387189993,0.04995241237265756,0.8084022445575832,0.7206355270256507,0.938353920576426
