dataset,k,metric,n,mean,sd,median,q25,q75,min,max
Mosmann_rare,2,ari,30,4.3731727865197956e-05,3.2810920760321446e-08,4.374109949884845e-05,4.369289570185144e-05,4.3761187103888017e-05,4.3684862621614334e-05,4.3765204814764905e-05
Mosmann_rare,2,target_precision,30,0.0004670004267148233,2.047444098198207e-08,0.0004670062750613,0.0004669761949491,0.0004670188095851,0.0004669711819738,0.0004670213165706
Mosmann_rare,2,target_recall,30,0.7981651376146787,2.2584051416334807e-16,0.7981651376146789,0.7981651376146789,0.7981651376146789,0.7981651376146789,0.7981651376146789
Mosmann_rare,2,target_f1,30,0.0009334546960975334,4.090100664087163e-08,0.0009334663791161,0.0009334062892272,0.0009334914188533,0.0009333962749978,0.0009334964269619
Mosmann_rare,2,target_f2,30,0.0023295501244453066,1.0189470824639299e-07,0.0023295792297929,0.0023294295307404,0.0023296416100769,0.0023294045827688,0.0023296540865345
Mosmann_rare,2,lower_bound,30,-9.07801871040166,1.4374626004469045e-05,-9.078027474861658,-9.07802950289002,-9.07800069901767,-9.07803154815505,-9.07799908628707
Mosmann_rare,10,ari,30,8.769379799760689e-05,1.8067689321526727e-05,8.013938180373534e-05,7.634798174678873e-05,9.782155519787404e-05,6.667980999824586e-05,0.000142335777275
Mosmann_rare,10,target_precision,30,0.005530448382389147,0.0013186056645995185,0.0051507509130819,0.0050233427186959995,0.005610824301107475,0.0038715635433686,0.0105368790767686
Mosmann_rare,10,target_recall,30,0.9935779816513761,0.020885938429872544,1.0,1.0,1.0,0.908256880733945,1.0
Mosmann_rare,10,target_f1,30,0.010996111798872133,0.0026001436143711317,0.0102487131655272,0.009996469626093124,0.011154113741716076,0.0077132646923539,0.0208457415128052
Mosmann_rare,10,target_f2,30,0.027016389584565256,0.006234599196080524,0.0252338603565369,0.024621973989295075,0.02739080102157355,0.0190626093039524,0.0504759157773291
Mosmann_rare,10,lower_bound,30,-6.559144262068909,0.029863186165740834,-6.557510373821981,-6.560135991314092,-6.546569653371006,-6.675352356489582,-6.504788740902381
Mosmann_rare,40,ari,30,3.2265957252217025e-05,2.2714712440332245e-06,3.198058959067696e-05,3.0390055001567935e-05,3.359167980900958e-05,2.863531550824847e-05,3.685858327283798e-05
Mosmann_rare,40,target_precision,30,0.05411052330255354,0.04699409555838403,0.04236694194765475,0.03991869141393435,0.04769829289545053,0.0342659541024834,0.2941176470588235
Mosmann_rare,40,target_recall,30,0.9571865443425076,0.12181429118318851,1.0,0.9724770642201837,1.0,0.3669724770642202,1.0
Mosmann_rare,40,target_f1,30,0.09523535643483848,0.048820495408570815,0.08122807765768231,0.0766917588951487,0.09076839207703048,0.0662613981762918,0.3265306122448979
Mosmann_rare,40,target_f2,30,0.19633403593231005,0.04854824249312232,0.1808091776036257,0.16835887038344494,0.19810106758073603,0.1506773569256289,0.3496503496503497
Mosmann_rare,40,lower_bound,30,-5.80044383429017,0.012683214904901482,-5.797525321815698,-5.808546670728058,-5.794783081795852,-5.829123003957595,-5.774828819404349
Nilsson_rare,2,ari,30,0.007750077188108831,1.0647064826565706e-06,0.0077508173952525,0.0077485967738215,0.0077508173952525,0.0077485967738215,0.0077508173952525
Nilsson_rare,2,target_precision,30,0.01996950654015456,5.340709258445594e-07,0.0199698778378981,0.0199687639446675,0.0199698778378981,0.0199687639446675,0.0199698778378981
Nilsson_rare,2,target_recall,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Nilsson_rare,2,target_f1,30,0.039157065798228134,1.0267263636669204e-06,0.0391577796007656,0.0391556381931532,0.0391577796007656,0.0391556381931532,0.0391577796007656
Nilsson_rare,2,target_f2,30,0.09246186168917664,2.2899190482111284e-06,0.0924634536907898,0.0924586776859504,0.0924634536907898,0.0924586776859504,0.0924634536907898
