dataset,scheme,endpoint,n,mean,sd,median,q1,q3,min,max,bootstrap_mean_ci95_low,bootstrap_mean_ci95_high
Levine_32dim,Python_20k_train,ari,30,0.7397078805362586,0.05952995541735321,0.759358185152472,0.6985080758531146,0.780064087476532,0.5950783978549284,0.8571458107352024,0.7182428342176285,0.7594429140010933
Levine_32dim,Python_20k_train,macro_f1,30,0.7251971239527452,0.028541673579624654,0.7275638295642197,0.7056275823807623,0.743035674955787,0.6742086790951352,0.7791164911918365,0.7150137098967217,0.7351613912507743
Levine_32dim,Python_20k_train,weighted_f1,30,0.8188725014708884,0.0443175412429905,0.8280992657240975,0.8072483452890732,0.8522992875329318,0.696158759399172,0.8969081618644017,0.8031302713122886,0.8338233760139334
Levine_32dim,Python_20k_train,hungarian_accuracy,30,0.7327955028283294,0.06149376583070602,0.7470052983183598,0.7148794440605084,0.7786704292405744,0.5779390309452507,0.8485468018121785,0.7100992074918732,0.7536193097468582
Levine_32dim,Python_20k_train,median_bmu_distance,30,2.17359778881073,0.004794408754772938,2.1740667819976807,2.1705597043037415,2.177355408668518,2.1621315479278564,2.180326700210572,2.1718841834863025,2.175250553687414
Levine_32dim,Python_20k_train,runtime_seconds,30,2.196937439999359,0.43944140563658457,2.275055699999939,1.7907643749986164,2.412140025000553,1.6573732999968342,3.735390099995129,2.049191819832043,2.3618211225820476
Levine_32dim,R_full_event,ari,30,0.8064741411662789,0.02679072388625206,0.8111885036523638,0.7868047949831913,0.8278282862962523,0.7590719754543143,0.8529474301785759,0.7967729861648138,0.816003239833857
Levine_32dim,R_full_event,macro_f1,30,0.7412905893663684,0.030282597270221305,0.7367092117468153,0.7292697260794871,0.7621359848978677,0.6779638262423804,0.7959370130993006,0.730865230604227,0.7519338849569298
Levine_32dim,R_full_event,weighted_f1,30,0.865075807743674,0.02316324565954744,0.872125270219422,0.8528290209785235,0.8791551877991354,0.8126940371648277,0.9030607080660936,0.8566036346048989,0.8729761350100949
Levine_32dim,R_full_event,hungarian_accuracy,30,0.801504389669559,0.03250891521645396,0.8141029332719036,0.7802805613145972,0.8232838055747523,0.7356791829839515,0.8526453198187821,0.7897747254856791,0.8127713388492156
Levine_32dim,R_full_event,median_bmu_distance,30,2.1532764384847938,0.0019227431121806788,2.153312563561185,2.1521390443899824,2.1544459198871353,2.14883770011208,2.15779721510882,2.1525824487851635,2.153961530003535
Levine_32dim,R_full_event,runtime_seconds,30,32.221333333333334,3.9503397787805823,31.159999999999947,30.84,31.572499999999998,30.58,50.9100000000001,31.164666666666673,33.83968333333334
Samusik_01,Python_20k_train,ari,30,0.8302167404790866,0.053231654033532964,0.8459195818133214,0.8139817736541572,0.86700333746415,0.6485931783910027,0.8856295958942387,0.8103610767708181,0.8473994288307053
Samusik_01,Python_20k_train,macro_f1,30,0.6927638400704998,0.014426531789939754,0.6913185105710575,0.6869816259976964,0.7022553803218086,0.6544313173732816,0.7195022390086542,0.6874673227013361,0.6976848354934843
Samusik_01,Python_20k_train,weighted_f1,30,0.8605209112593872,0.029715149215394476,0.8699413431016125,0.8614359664931825,0.8770570667240466,0.749565967125644,0.8833458324362689,0.8486618386834298,0.8696731753424637
Samusik_01,Python_20k_train,hungarian_accuracy,30,0.8108081169014348,0.04551181866251304,0.823754537077088,0.8049432982904858,0.8377607056212739,0.6372595114061648,0.8475542098433415,0.7932521517812926,0.825150107510704
Samusik_01,Python_20k_train,median_bmu_distance,30,2.3800094604492186,0.003590302344731929,2.3800495862960815,2.37804251909256,2.382859468460083,2.371444702148437,2.3869028091430664,2.3787513520320256,2.381249048511187
Samusik_01,Python_20k_train,runtime_seconds,30,1.821000016665736,0.19750615977821792,1.7770848500003922,1.7383895749971998,1.8353306749941112,1.7216300000000049,2.826560999994399,1.7716049904156292,1.9031626819148793
Samusik_01,R_full_event,ari,30,0.8798131373708824,0.017822413351496254,0.882002449601812,0.8712768151614655,0.8899348206585238,0.8219638409208601,0.9044115330692648,0.8732857637708008,0.8856801457398574
Samusik_01,R_full_event,macro_f1,30,0.68154263520545,0.012677764077935876,0.6799171386741968,0.6723484726876952,0.6903613161712213,0.6614450484250305,0.7094081769602046,0.6771475867368691,0.6859875388831304
Samusik_01,R_full_event,weighted_f1,30,0.875979999661175,0.008353771701444872,0.8766694464765623,0.8721649154400086,0.88097947433807,0.8536320994869098,0.8910936982550131,0.8730478247368825,0.8787862896618456
Samusik_01,R_full_event,hungarian_accuracy,30,0.8385101461267939,0.013253782090456212,0.8385552818159592,0.8313899911609275,0.8461249130197657,0.8038290109642111,0.8626370526394975,0.8336447069001184,0.8430701828622296
Samusik_01,R_full_event,median_bmu_distance,30,2.36241324304963,0.002335819147981002,2.362689221925725,2.361367589563965,2.364067693709212,2.35748191972716,2.36629635605518,2.3615862506208805,2.3632232653834735
Samusik_01,R_full_event,runtime_seconds,30,15.621333333333334,0.3196628971527557,15.58,15.39,15.817500000000075,15.12,16.58,15.514333333333335,15.74166666666667
