dataset,elements,max_abs_delta,mean_abs_delta,exact_fraction,within_5e_8_fraction,label_mismatches
Levine_32dim,10359453,5.002220859751105e-12,7.507627539024968e-14,0.1684835096988229,1.0,0
Samusik_01,4430064,5.002220859751105e-12,3.150501728748954e-14,0.1099379151181563,1.0,0
Nilsson_rare,838660,5.002220859751105e-12,6.250505173102989e-13,0.5122755347816755,1.0,0
Mosmann_rare,8722120,5.002220859751105e-12,5.865934370044354e-13,0.48878437810990905,1.0,0
