n_markers,n_marker_chains_contributing,full32_collapsed_to_one_shared_reference,ari_mean_across_chain_mean,ari_mean_across_chain_sd,ari_mean_across_chain_min,ari_mean_across_chain_max,ari_sd_across_chain_mean,ari_sd_across_chain_sd,ari_sd_across_chain_min,ari_sd_across_chain_max,macro_f1_mean_across_chain_mean,macro_f1_mean_across_chain_sd,macro_f1_mean_across_chain_min,macro_f1_mean_across_chain_max,macro_f1_sd_across_chain_mean,macro_f1_sd_across_chain_sd,macro_f1_sd_across_chain_min,macro_f1_sd_across_chain_max,median_bmu_distance_per_sqrt_marker_mean_across_chain_mean,median_bmu_distance_per_sqrt_marker_mean_across_chain_sd,median_bmu_distance_per_sqrt_marker_mean_across_chain_min,median_bmu_distance_per_sqrt_marker_mean_across_chain_max,median_bmu_distance_per_sqrt_marker_sd_across_chain_mean,median_bmu_distance_per_sqrt_marker_sd_across_chain_sd,median_bmu_distance_per_sqrt_marker_sd_across_chain_min,median_bmu_distance_per_sqrt_marker_sd_across_chain_max
8,5,False,0.2895426372193925,0.08789395174919311,0.16443357979363665,0.3746995235554095,0.022401285377966883,0.014506318499856759,0.010103693834131905,0.0421822831200307,0.34131809103147553,0.05512822290516851,0.24994739600717444,0.38025840960838364,0.01115064761305966,0.004966696017527169,0.004760661832784309,0.017828922314054356,0.25049994501021633,0.04457456599159828,0.20307426778654253,0.30541792588026073,0.0006244748877122901,0.00019031648732152146,0.0004346026974312851,0.0009098228932837871
13,5,False,0.36604451323917225,0.06404827152752278,0.3142223772348938,0.4609464682019924,0.019220390879818708,0.0061605961003281685,0.010910142125746772,0.027550156088216884,0.46317949194542524,0.06562758013219266,0.3823639783399228,0.534644190332167,0.015339276775866106,0.0048106925166353925,0.011412943232762675,0.022504874386865298,0.32323516854868667,0.031787317476562126,0.27578366635083235,0.357853090947691,0.0006676483570750549,0.0001669827396176991,0.0004807879340183309,0.000866642054242688
20,5,False,0.5455277805851313,0.13033507799109498,0.3684314832919673,0.728728770852354,0.03768866013410921,0.02056600189448462,0.011059645687221023,0.061671841104266704,0.6342616818834991,0.05853672512164044,0.5587314656239796,0.7063417819851832,0.026624737074612038,0.00593004635881304,0.019854041643861422,0.03497391956101239,0.3618229755187269,0.034824367362454076,0.3057927226869893,0.4005364953422002,0.0007292950304946067,0.00017323808938770103,0.0004491448259234527,0.0008650872052593258
26,5,False,0.6277812019471983,0.08821896100241038,0.5345168645150439,0.7556476641949544,0.06255482421194199,0.02954251858519196,0.034477292703730206,0.10941784115342819,0.6722763185605268,0.031002792063110674,0.6381290507878189,0.7156474991018545,0.02375318300089452,0.012951581303628503,0.009071558682984626,0.04265848994124956,0.37524941657045696,0.014761007600242182,0.3613886690955497,0.3962434195744965,0.0007562859790130964,0.0001832546918809989,0.0004851517639728812,0.0009667986041079077
32,1,True,0.739614921366913,0.0,0.739614921366913,0.739614921366913,0.04928784935497881,0.0,0.04928784935497881,0.04928784935497881,0.7193292043241453,0.0,0.7193292043241453,0.7193292043241453,0.0377488742378634,0.0,0.0377488742378634,0.0377488742378634,0.384638984158617,0.0,0.384638984158617,0.384638984158617,0.00030070072710079054,0.0,0.00030070072710079054,0.00030070072710079054
