true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),0,0,1,2,0,2,9,9,0,2,1,11,138,4,1,1,2,8,1,3,0,2,9,17,0,2,0,4,0,4,2,4,2,0,1,11,0,2,10,1
Basophils,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,271,0,0,0,0,0,0,0
CD4 T cells,0,0,390,0,0,5,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0
CD8 T cells,0,0,0,523,190,1,0,0,0,0,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CLP,0,0,0,0,0,0,0,0,2,8,0,0,0,3,0,31,0,0,8,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,8,61,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,126,13,1,0,12992,0,0,0,0,158,165,1,0,9,137
Eosinophils,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,7,24,0,0,1,0,349,1,1,8,19,0,0,50,4155,436,90,1,3,20,3
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,489,74,0,0,0,0,134,0,0,0,0,0,0,4,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,0,0,0,0,1461,102,0,0,0,0,1732,0,0,0,0,199,0,0,0,0,0,10,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
IgDpos IgMpos B cells,0,0,1,0,0,1,108,8556,0,0,0,0,7,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
IgM- IgD- B-cells,0,0,0,0,0,1,0,31,4,5,0,2,905,0,0,0,99,0,0,0,0,0,66,2,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0
Intermediate Monocytes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,21,3,0,0,48,3,0,0,2,596,10721,91,0,551,4
MEP,0,0,0,0,0,0,0,0,0,0,0,0,2,0,71,0,0,0,1,0,0,263,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,0,0,117,42,31,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,169,12,1,0,0,0,1,0,0,0,0,12,3
NK cells,0,0,0,0,0,0,0,0,0,2,0,5,0,9,3,2,117,0,0,0,0,0,1,1,0,0,2,1,0,0,0,41,4,0,0,0,0,0,0,1
NKT cells,0,0,45,1,61,23,0,0,0,0,21,797,0,1,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,1,0,0,0,0,0,0,2,3,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
mDCs,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,92,0,0,0,0,0,0,0,0,0,0,0
pDCs,1174,405,1,0,0,0,0,1,1199,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,188,0,0,0,0,0,0,0,1,0
