true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),18,4,22,4,138,0,0,4,4,19,13,2,5,2,0,2,3,1,4,6,0,12,0,3
Basophils,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,272,0,0,0,14,0,0,1,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,399,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,618,0,0,0,0,0,0,0
CLP,0,0,0,0,1,0,0,10,0,0,0,0,40,0,0,0,0,0,0,0,0,4,4,0
CMP,0,0,0,0,0,0,0,0,194,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,87,10704,0,1967,0,0,365,0,20,0,0,1,0,0,183,0,0,0,4,0,276,0,0,0
Eosinophils,74,14,0,3,0,4164,806,0,47,0,0,0,0,3,6,49,0,1,1,0,2,0,0,3
GMP,0,0,0,11,0,0,3,0,681,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,383,1,1007,0,0,0,0,2108,0,0,0,0,0,0,0,0,1,1,0,4,0,3
IgDpos IgMpos B cells,0,0,8720,0,1,0,0,0,0,35,1,0,0,0,0,0,0,1,0,0,0,0,0,10
IgM- IgD- B-cells,0,3,40,0,963,0,0,7,0,1,4,1,0,0,0,0,0,0,5,98,0,0,1,0
Intermediate Monocytes,11420,55,0,16,0,1,486,5,5,0,0,0,0,3,5,0,0,0,0,0,49,0,0,0
MEP,0,0,0,0,7,0,0,0,81,0,0,331,1,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,30,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0
Macrophages,11,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,181,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,3,0,6,0,13,0,0,3,0,0,2,160,0,0,2,0
NKT cells,0,0,0,0,0,0,0,0,1,0,895,1,1,0,0,1,11,50,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,1,1015,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,28,3,0,1,1,0,0,1,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111,0,0,0,4,0,0,0,0,0
pDCs,0,0,1,0,0,0,0,2970,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
