true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),11,12,108,2,1,0,34,0,0,1,23,0,4,2,1,1,3,1,0,3,4,0,1,2,0,0,11,2,2,2,12,0,0,0,4,9,2,4,4,0
Basophils,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,271,10,0,0,0,1,2,0,0,0,2,0
CD4 T cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,395,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
CD8 T cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,194,519,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CLP,0,0,1,3,6,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
CMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,2,138,4
Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,1,0,0,0,0,0,150,179,0,0,0,0,248,2,0,0,9,12838,149,0,13
Eosinophils,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,1,8,1,0,0,0,0,4140,3,157,2,49,0,0,708,2,0,0,22,20,0,3,50
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,1,0,0,0,28,254,404
HSC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
IgD- IgMpos B cells,312,1479,1200,0,0,0,491,0,0,0,21,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
IgDpos IgMpos B cells,8689,57,5,0,0,0,2,0,0,0,1,0,0,0,0,1,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgM- IgD- B-cells,23,0,541,4,4,0,435,0,0,0,4,1,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,99,3,0,0,0,0,0,3,0,0,0
Intermediate Monocytes,0,0,0,1,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,7,11041,0,0,0,0,333,48,0,0,563,34,4,2,2
MEP,0,0,13,0,0,0,0,0,0,0,0,0,53,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,177,0,0,0,13,3
Macrophages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,138,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,1,0,1,0
NK cells,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,4,115,5,0,0,2,12,0,0,0,0,0
NKT cells,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,45,0,0,0,0,0,0,68,1,0,0,0,0,1,7,815,0,0,1,1,0,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1014,0,0,0,0,0,0,1,0,0,0,0,0
Plasma Cells,2,0,0,0,0,0,0,0,0,111,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,23,0,0,0,0,0,0,0,0,0
mDCs,0,0,0,0,0,0,1,0,0,0,1,25,0,0,0,0,0,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,2,0,0,1119,0,1283,0,187,376,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
