true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),0,4,0,18,0,2,4,0,2,3,1,0,5,0,2,1,1,12,2,9,3,1,3,2,138,0,4,1,0,15,3,0,1,0,1,7,1,0,1,19
Basophils,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,10,271,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CD4 T cells,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,242,0,0,0,156,0,0,0,0,0,0,0
CD8 T cells,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,518,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0
CLP,0,0,0,0,0,0,0,0,0,3,29,7,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4
CMP,0,0,0,0,5,2,153,27,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,255,12969,187,30,12,104,0,0,25,0,0,0,0,21,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eosinophils,780,22,3,63,46,0,29,0,2,0,0,0,0,4,3,4162,0,0,0,0,0,45,0,0,0,0,1,0,0,0,3,8,1,0,0,0,0,0,0,1
GMP,25,0,0,0,403,31,240,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1801,0,1,0,0,278,1,0,0,0,0,1395,0,0,0,28
IgDpos IgMpos B cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,8527,14,0,0,0,0,217,0,0,0,2
IgM- IgD- B-cells,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,87,99,0,0,0,888,1,4,0,0,29,0,0,0,0,2,0,0,0,4,0
Intermediate Monocytes,648,188,5,11054,3,4,2,0,131,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MEP,0,0,0,0,0,0,0,68,0,0,0,1,0,0,0,0,0,0,278,71,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,4,0,8,1,0,151,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,0,1,2,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41,136,0,0,0,0,6,0,0,0,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,3,0,10,3,0,0,1,0,0,0,5,0,1,126,3,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NKT cells,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,69,808,0,1,12,1,0,1,0,0,0,19,8,0,0,0,40,0,0,0,0,0,0,0
Non-Classical Monocytes,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,78,0,0,38
gd T cells,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,23,0,3,0,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0
mDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,87,0,0,0,0,0,0,0,1
pDCs,0,0,0,1,0,0,1,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,454,0,0,0,1189,1169,0
