true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),18,5,20,4,0,47,111,3,5,0,13,2,5,2,0,1,1,3,4,6,0,14,0,2
Basophils,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,272,0,0,0,14,0,0,1,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,399,0,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,604,0,0,0,0,0,0
CLP,0,0,0,0,0,0,1,10,0,0,0,0,40,0,0,0,0,0,0,0,0,4,4,0
CMP,0,0,0,0,0,0,0,0,191,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,242,10686,0,1992,0,0,0,1,25,248,0,1,0,0,176,0,0,0,4,0,232,0,0,0
Eosinophils,144,20,0,2,4162,0,0,0,54,725,0,0,0,3,7,50,1,0,1,0,1,0,0,3
GMP,0,0,0,0,0,0,0,0,699,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,408,1,0,1981,1103,0,0,0,0,0,0,0,0,0,0,0,2,1,0,9,0,3
IgDpos IgMpos B cells,0,0,8738,0,0,15,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10
IgM- IgD- B-cells,0,3,39,0,0,473,492,6,0,0,4,1,1,0,0,0,0,0,5,98,0,0,1,0
Intermediate Monocytes,11716,46,0,16,1,0,0,5,5,232,0,0,0,4,5,0,0,0,0,0,15,0,0,0
MEP,0,0,0,0,0,0,6,0,79,0,0,334,1,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,29,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,181,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,3,0,6,0,13,0,0,3,0,0,2,160,0,0,2,0
NKT cells,0,0,0,0,0,0,0,0,1,0,879,1,1,0,0,1,67,10,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,1,1015,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,23,3,0,1,1,0,6,0,0,0,0,0,0,0
mDCs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,111,0,0,0,4,0,0,0,0,0
pDCs,1,0,1,0,0,0,0,2969,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
