true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),2,3,11,2,10,2,2,3,1,0,1,3,1,2,0,118,2,0,4,2,27,0,0,1,0,17,1,10,2,3,2,10,7,0,0,12,0,0,1,4
Basophils,0,0,0,0,0,0,0,2,0,0,0,12,271,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0
CD4 T cells,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,397,0
CD8 T cells,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,752
CLP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0,1,0,3,9,4,0,0,0,1,0,0,1,0,0,0
CMP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,52,0,0,0,3,22,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0
Classical Monocytes,257,12629,227,0,15,1,0,0,234,187,0,0,0,35,0,0,0,13,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eosinophils,0,21,227,2,157,0,0,0,0,514,0,0,49,0,4165,0,0,1,1,14,0,7,2,7,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0
GMP,18,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,580,0,0,0,19,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1479,0,0,0,0,337,2,0,0,0,154,0,18,0,0,0,1332,183,0,0,0,0,0,0,0
IgDpos IgMpos B cells,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,5,0,0,0,0,1,0,0,0,0,8446,0,1,0,0,0,193,115,0,0,1,0,0,1,0
IgM- IgD- B-cells,0,3,0,0,0,0,0,0,0,0,1,97,1,0,0,657,0,1,5,0,311,0,0,0,0,35,0,0,5,0,0,0,0,4,0,3,0,0,0,0
Intermediate Monocytes,10,83,10784,0,1064,0,3,1,1,80,0,0,0,9,1,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
MEP,0,0,0,0,0,266,0,0,0,0,54,0,0,0,0,12,1,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,6,0,0,0,0,1,0,0,0,1,135,30,0,0,0,0,0,0,0,0,0
Macrophages,0,1,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,169,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,34,0,0,0,124,3,0,0,1,0,2,1,0,0,1,0,1,2,1,0,0,3,10,1,0,0,0,0,5,0,0,0,0
NKT cells,0,0,0,0,0,0,1,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,879,0,0,51,14
Non-Classical Monocytes,0,0,0,1008,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,46,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,25,0,0,2,0
mDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,19,0,0,1,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,0,0,0,0,1,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1138,278,0,289,1095,2,0
