true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),2,1,4,4,0,2,4,2,12,0,0,2,3,2,1,2,3,0,11,137,0,14,0,4,0,10,3,7,17,0,0,8,1,0,0,3,0,2,3,2
Basophils,0,0,2,3,0,0,0,0,0,0,0,0,12,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
CD4 T cells,0,398,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD8 T cells,540,0,0,0,0,0,0,237,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLP,0,0,13,0,0,0,0,0,0,28,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,10,0,0
CMP,0,0,0,122,39,3,0,0,0,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,0,0,0,0,13,212,12764,0,0,0,0,0,0,0,127,1,0,0,300,0,2,0,26,0,148,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Eosinophils,0,1,0,32,13,1,19,0,0,0,0,0,0,50,423,0,0,4167,429,0,0,0,1,1,0,21,0,2,1,8,1,0,0,0,0,1,0,0,0,2
GMP,0,0,0,99,534,62,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSC,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IgD- IgMpos B cells,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1071,0,1249,1,1,0,0,866,86,13,0,0,209,0,0,0,9,0,0,0,0
IgDpos IgMpos B cells,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,0,4,1,81,8540,0,0,0,110,0,0,0,0,0,0,0,0
IgM- IgD- B-cells,0,0,0,0,0,0,3,0,3,0,0,0,99,0,0,0,1,0,0,969,1,0,0,4,0,0,1,29,4,0,0,0,0,4,0,0,0,5,0,0
Intermediate Monocytes,0,0,0,2,2,8,41,0,0,0,0,2,0,0,69,0,0,2,11146,0,0,0,5,0,3,696,0,0,0,0,68,0,0,0,0,0,0,1,0,0
MEP,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,295,48,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,161,27,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Macrophages,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,43,0,0,135,2,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0
NK cells,0,0,10,1,0,0,0,0,5,0,2,0,124,4,0,0,1,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,34,0
NKT cells,2,50,1,0,0,0,0,22,874,0,1,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Non-Classical Monocytes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1012
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,53,0,0,0,0
gd T cells,0,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1
mDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,87,0,0,0,0,0,1,0,0,0,0
pDCs,0,2,0,1,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1207,376,1,1175,1,0,0
