true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),19,1,3,0,3,0,4,0,3,0,1,1,2,1,3,0,2,2,3,2,11,4,0,0,148,2,2,0,3,18,0,1,8,7,0,1,8,1,2,0
Basophils,1,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,271,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,230,1,0,0,0,168,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,515,0,0,0,0,87,0,0,0,0,0,0,0,0
CLP,0,0,0,0,0,0,0,0,0,0,2,2,0,40,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0
CMP,0,0,0,0,0,7,146,27,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,111,303,12857,129,180,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eosinophils,57,789,15,3,0,60,17,0,0,2,0,0,0,0,0,4163,2,49,0,0,0,2,0,1,0,0,0,8,3,1,0,0,0,0,0,1,0,0,0,0
GMP,0,1,0,0,40,398,257,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IgD- IgMpos B cells,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1852,0,0,1,2,13,0,0,82,1347,0,0,208,0,0,0
IgDpos IgMpos B cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,14,0,1,0,8490,166,0,0,90,0,0,0
IgM- IgD- B-cells,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,99,2,3,4,1,0,975,0,0,0,0,2,0,0,26,0,0,0,0,0,4,0
Intermediate Monocytes,11139,784,46,7,7,4,2,0,0,47,3,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEP,0,0,0,0,0,0,0,75,0,0,0,0,266,1,0,0,0,0,0,69,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,4,18,1,0,0,0,0,0,29,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,11,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,136,41,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
NK cells,0,0,0,1,0,0,1,2,36,0,0,0,0,3,9,0,0,4,124,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NKT cells,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,7,1,820,0,0,0,0,62,1,0,0,0,7,19,0,0,0,40,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,4,89,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,22,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,2,0
mDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,92,0,2,0,0,0,0,0,0,0,0,0,0
pDCs,1,0,0,0,0,0,1,0,0,0,114,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,605,1,0,0,0,1080
