dataset,method,regime,label_informed_regime,repeat_type,repeat_id,ari,precision,recall,f1,f2,source_id
Nilsson_rare,GMM,K=10,False,controlled_seed,4,0.0023834029028915,0.0540983606557377,0.9217877094972068,0.1021988231650666,0.2190653212958046,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,5,0.0026353668411145,0.0739334375698012,0.9245810055865922,0.136918304033092,0.2800812320189542,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,6,0.0022713553278032,0.0533980582524271,0.9217877094972068,0.1009483022330988,0.2167630057803468,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,7,0.0007840781798334,0.0541605120630231,0.9217877094972068,0.1023097194233452,0.2192691029900332,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,8,0.0041446638703932,0.0728272827282728,0.9245810055865922,0.1350193758923108,0.2768947632591601,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,9,0.0015142177290289,0.0540496407576747,0.9245810055865922,0.1021289725393397,0.2190312334568555,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,10,0.0038374692156592,0.0726833552920509,0.9245810055865922,0.134771986970684,0.276478449716004,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,11,0.0023416722144926,0.0533721494420184,0.9217877094972068,0.1009020027518728,0.216677609980302,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,12,0.0019328297746688,0.0546655656482246,0.9245810055865922,0.1032278184936847,0.2210498196874582,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,13,0.002486480997709,0.0695232094097878,0.9245810055865922,0.1293221332291463,0.2672372032940416,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,14,0.0041425293484999,0.0892905314270299,0.9245810055865922,0.1628536285362853,0.3220470908737108,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,15,0.0021769033242743,0.0559027191352812,0.9245810055865922,0.1054308010829749,0.2250781993744049,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,16,0.0025586752820345,0.0838611603749683,0.9245810055865922,0.1537746806039489,0.3076780070645101,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,17,0.0037885336933575,0.0726833552920509,0.9245810055865922,0.134771986970684,0.276478449716004,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,18,0.0022869385461281,0.0533721494420184,0.9217877094972068,0.1009020027518728,0.216677609980302,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,19,0.0027877515880397,0.0538561666124308,0.9245810055865922,0.1017835178351783,0.2183953549749274,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,20,0.0022736789528328,0.0533980582524271,0.9217877094972068,0.1009483022330988,0.2167630057803468,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,21,0.003786341741409,0.0726833552920509,0.9245810055865922,0.134771986970684,0.276478449716004,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,22,0.0040722106617083,0.0885737222370885,0.9245810055865922,0.1616605616605616,0.3201779841361966,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,23,0.0042011367995135,0.0760045924225028,0.9245810055865922,0.1404625503925313,0.285985830309314,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,24,0.0013761639635105,0.0541960913122023,0.9217877094972068,0.1023731968357375,0.2193857199840446,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,25,0.001990476992817,0.0546745953088866,0.9245810055865922,0.103243917654398,0.2210793481164841,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,26,0.0024466612406942,0.0547650562541363,0.9245810055865922,0.1034051858794126,0.2213750668806848,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,27,0.0007907866636605,0.0541694024950755,0.9217877094972068,0.1023255813953488,0.219298245614035,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,28,0.0041287372199308,0.0728433098591549,0.9245810055865922,0.135046919624643,0.2769410977242302,gmm_rare_runs
Nilsson_rare,GMM,K=10,False,controlled_seed,29,0.0013692703623798,0.0541871921182266,0.9217877094972068,0.1023573200992555,0.21935655410795,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,0,0.0009482773308936,0.2660550458715596,0.8910614525139665,0.4097623635195889,0.6062333713416951,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,1,0.000851507973902,0.2216104611149346,0.8994413407821229,0.3556046383213694,0.5580589254766031,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,2,0.0008237059277673,0.2710997442455243,0.888268156424581,0.4154147615937296,0.6103646833013435,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,3,0.0011322124377899,0.3062248995983935,0.8519553072625698,0.4505169867060561,0.6280889621087316,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,4,0.0009636933138943,0.2673931265716681,0.8910614525139665,0.4113475177304964,0.6076190476190476,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,5,0.0007501010380904,0.2344777209642074,0.8966480446927374,0.3717429067747539,0.5730096394144948,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,6,0.0010274359476633,0.3201251303441084,0.8575418994413407,0.466211085801063,0.6419907988289419,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,7,0.0011478125030596,0.3038461538461538,0.88268156424581,0.452074391988555,0.6391585760517798,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,8,0.0012294270408364,0.29688972667295,0.8798882681564246,0.4439746300211417,0.631768953068592,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,9,0.000778974188756,0.2450532724505327,0.8994413407821229,0.3851674641148325,0.5863073561544064,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,10,0.0008723022577791,0.2723367697594501,0.8854748603351955,0.4165571616294349,0.6105546995377503,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,11,0.0009993031584754,0.2937384898710866,0.8910614525139665,0.4418282548476455,0.6334392374900716,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,12,0.0011558429046117,0.3480333730631704,0.8156424581005587,0.4878863826232247,0.6428885953324527,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,13,0.0010275345143019,0.2562248995983935,0.8910614525139665,0.3980037429819089,0.5958162121778111,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,14,0.0012855791769743,0.3300110741971207,0.8324022346368715,0.4726407613005551,0.6381156316916489,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,15,0.0009735004852246,0.2597402597402597,0.8938547486033519,0.4025157232704401,0.6006006006006006,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,16,0.000679292902007,0.2276595744680851,0.8966480446927374,0.3631221719457013,0.5647431386347642,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,17,0.0014867668380516,0.3289617486338798,0.840782122905028,0.4728986645718775,0.6412441414571795,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,18,0.0009309539669377,0.2696534234995773,0.8910614525139665,0.4140168721609344,0.609942638623327,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,19,0.0014472395525772,0.3264192139737991,0.835195530726257,0.4693877551020409,0.6367120954003408,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,20,0.0012766794591339,0.2662771285475793,0.8910614525139665,0.4100257069408741,0.6064638783269962,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,21,0.0008852300702475,0.2586623690572119,0.8966480446927374,0.4015009380863039,0.600448933782267,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,22,0.0010334696726583,0.1873563218390804,0.9106145251396648,0.3107721639656816,0.5138713745271122,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,23,0.0011570431418354,0.232258064516129,0.905027932960894,0.3696520250998289,0.5730456314113901,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,24,0.0005948337533989,0.1848691695108077,0.9078212290502792,0.3071833648393194,0.5094043887147336,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,25,0.0010602930089019,0.2651704073150457,0.8910614525139665,0.4087123638693145,0.6053130929791272,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,26,0.0009696104622184,0.2643391521197007,0.888268156424581,0.407431133888533,0.603415559772296,gmm_rare_runs
