dataset,method,repeat_type,repeat_id,ari,macro_f1,unit,source_id
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,12,0.5370961328200013,0.5595705352154055,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,13,0.5594860014115186,0.5521903194100667,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,14,0.5860812031458057,0.5648287643881141,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,15,0.5491860785895363,0.5537456092479932,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,16,0.5608982040928692,0.6064141564864317,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,17,0.5476674946509207,0.5585657809601425,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,18,0.5522522217191523,0.5562496868793442,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,19,0.5488236361009863,0.5650303567017319,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,20,0.5562876804820162,0.556120039079575,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,21,0.5698209091969775,0.6092192986432778,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,22,0.5713353157019829,0.619306760209304,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,23,0.5452379976174092,0.5525334334706775,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,24,0.5447569191885033,0.6009307892490201,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,25,0.5703639708638576,0.5727433358066697,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,26,0.5385203040454094,0.5497666165153597,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,27,0.5587513877577543,0.5902182337192972,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,28,0.5479709143521306,0.5623820439490387,algorithm_run,phenograph_full_run_points
Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,native_repeat,29,0.5421560014496185,0.6030643539481823,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,0,0.823069731379113,0.6188204248006758,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,1,0.8154464253959846,0.6605179183258736,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,2,0.8166611638559234,0.6610103051401071,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,3,0.8062668611907777,0.656761316522036,algorithm_run,phenograph_full_run_points
