true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23
1,0,0,4,5,0,0,0,0,2,876,0,0,0,0,0,1,7,17,0,0,0,0,0
10,1,0,0,0,0,0,10,0,16,0,0,571,0,0,0,1,2,2,3,0,0,2,0
11,45,13528,0,22,6,268,0,0,0,1,0,0,17,51,0,1,1,0,0,0,0,0,24
12,11,0,0,17,7760,0,0,7,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1
13,109,0,0,111,0,0,0,0,0,0,3452,0,0,0,0,0,0,0,0,0,0,6,6
14,6,0,0,2,0,0,0,0,0,6,0,0,0,0,0,175,0,5,0,0,0,0,0
15,45,0,0,35,0,0,0,0,0,2,2,0,0,0,0,60,2,6,0,0,0,0,0
16,1577,3,0,909,0,0,17,0,30,2,446,0,14,0,0,0,6,17,0,0,0,0,4
17,0,63,0,0,0,6834,0,0,0,0,0,0,1,43,0,0,43,0,0,3,0,0,0
18,2,0,0,0,1195,0,0,8280,69,0,0,0,11,0,1,0,5,0,0,0,1,0,0
19,52,0,0,51,0,0,79,0,3454,6,14,48,10,0,0,3,142,5,0,0,0,0,0
2,0,0,6533,20,0,0,0,0,1,199,0,0,0,0,5,0,12,8,1,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,1,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,251,41,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,2,0,0,0,0,1,2,0,7,0,0,0,226,1,0,0,0,0,0,0
24,2,0,0,6,0,0,2,0,71,3,1,895,0,0,0,2,7,5,0,0,0,0,0
3,0,0,462,12,0,0,0,0,6,759,0,0,0,0,3,0,15,21,0,0,0,0,0
4,18,0,0,7,0,0,0,0,2,8,0,1,0,0,0,217,0,0,0,0,0,0,0
5,11763,0,0,63,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,13,5
6,1,0,0,0,0,0,0,0,45,8,0,1,0,0,0,18,0,0,0,0,0,0,0
7,52,0,0,109,0,0,0,0,1,3,3,0,0,0,0,83,5,5,0,0,0,0,0
8,158,2,0,163,0,0,108,0,48,1,10,0,0,0,0,0,9,1,0,0,0,1,1
9,36,0,0,70,1,0,7629,0,10,0,1,27,0,0,0,0,7,2,5,0,3,5,0
