true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),7,8,6,140,6,13,2,1,3,1,1,0,0,2,4,5,22,0,3,0,0,0,0,4,0,2,0,1,6,4,1,0,20,0,1,0,1,2,0,0
Basophils,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0
CD4 T cells,0,0,0,0,0,4,0,396,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
CD8 T cells,0,0,0,0,0,99,596,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CLP,0,0,0,1,0,0,0,0,14,0,26,0,0,0,3,0,4,0,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CMP,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,44,24,116,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,2,9,0,0,0,0,0,0,13048,0,8,0,223,149,0,0,0,0,9,146
Eosinophils,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,26,0,4,0,0,18,2,0,0,480,410,4166,8,46,2,1,3
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,6,148,0,0,0,0,38,0,0,0,0,22,1,0,0,0,0,0
HSC,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,183,1223,596,1303,0,0,0,0,0,0,0,0,0,0,0,181,16,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0
IgDpos IgMpos B cells,8584,63,5,4,0,0,0,1,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgM- IgD- B-cells,29,0,0,974,97,3,0,0,1,0,0,1,1,0,0,0,1,1,4,2,1,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0
Intermediate Monocytes,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,88,0,2,0,11812,37,1,0,0,0,84,10
MEP,0,0,0,12,0,0,0,0,1,0,0,0,46,292,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,35,0,0,0,128,0,0,0,0,0,0,5,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,1,137,0,0,10,0,2,8,0,0,0,2
NK cells,0,0,0,2,154,5,0,0,1,0,2,2,0,0,9,0,1,0,1,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0
NKT cells,0,0,0,0,6,881,2,46,1,21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,109,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,0,0,0,23,0,1,0,3,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
mDCs,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,89,0,0,0,0
pDCs,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,721,355,0,0,0,0,1,0,5,1338,235,0,0,0,314,1,0,0,0,0,0,0,0
