true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),0,0,1,1,2,2,6,2,0,0,1,0,11,0,3,1,4,4,0,0,12,10,0,3,2,36,6,74,33,11,0,7,0,2,19,0,9,0,4,0
Basophils,0,0,0,0,0,0,13,273,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD4 T cells,0,0,356,0,0,2,0,0,0,0,0,41,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
CD8 T cells,0,0,0,97,511,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLP,0,0,0,0,0,0,0,0,0,1,27,0,0,0,1,6,3,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
CMP,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,142,7,0,0,0,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,132,271,8,2,0,1,0,12991,0,0,0,19,0,3,0,0,0,0,0,0,147
Eosinophils,0,0,1,0,0,0,0,49,4140,0,0,0,0,0,0,0,0,16,52,486,360,18,0,0,0,0,26,0,0,0,4,2,2,2,1,8,1,0,2,3
GMP,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,260,427,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,1241,479,1402,1,131,0,0,12,0,222,0,1,0
IgDpos IgMpos B cells,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,72,0,8597,0,0,0,0,83,0,0,5
IgM- IgD- B-cells,0,0,0,0,0,0,98,0,0,4,0,0,3,0,0,3,0,0,0,0,0,0,1,1,0,488,3,18,467,0,1,31,0,0,1,0,0,0,4,0
Intermediate Monocytes,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,2,2,43,11306,540,0,0,0,0,62,0,0,0,5,0,73,0,0,0,0,0,0,6
MEP,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,279,61,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,130,24,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,141,2
NK cells,0,0,0,0,0,0,152,7,0,0,3,0,5,0,0,1,9,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,1,0,0,0,2,0
NKT cells,0,0,31,10,1,88,6,1,0,0,0,31,789,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1013,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,115,0,0
gd T cells,0,0,1,0,0,0,0,0,0,0,0,4,23,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0
mDCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0,0,0,1,88,0,0,0,0
pDCs,1130,348,1,0,0,0,0,0,0,1202,0,1,0,0,285,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
